# The physical locations of oNCOs found in the probands of this study are supplied in
# this file along with information about the number of MPPs within the oNCO, family
# size and whether oNCO is unambiguously assigned to owner. Ambiguously assigned
# oNCOs are not used for analysis of allele selection bias and DNMs colocation.
# The data columns are as follows: 
# Chr (chromosome),
# Begin (GRCh38 position of earliest converted variant in oNCO),
# End (GRCh38 position of last converted variant in oNCO),
# pid (proband ID),
# ptype (transmitting parent, P: paternal, M: maternal),
# event_id (unique ID for oNCO)
# MPPs (number of MPPs within oNCO),
# gcMPPs (number of gene-converted MPPs within oNCO),
# sibs (number of siblings with same parents),
# AO (ambiguous owner of oNCO - only in 2-children families),
Chr	Begin	End	pid	ptype	event_id	MPPs	gcMPPs	sibs	AO
chr1	2473847	2473847	P0B9FC	M	X0058D	1	1	2	0
chr1	2507173	2507173	P0E916	M	X0166A	1	1	2	0
chr1	2885783	2885783	P0A129	M	X002C5	1	1	3	0
chr1	2889331	2889331	P023D4	M	X0067A	1	1	2	0
chr1	2962895	2962895	P002DD	P	Y00708	1	1	2	0
chr1	3066754	3066754	P069BC	M	X02635	1	1	2	0
chr1	3078885	3094885	P034FB	M	X039A9	5	2	5	0
chr1	3082639	3082639	P05A5E	M	X013AF	1	1	2	0
chr1	3127002	3127002	P0C908	P	Y00C2B	1	1	2	0
chr1	3140916	3140916	P088FA	P	Y02EC7	1	1	3	0
chr1	3201289	3201290	P01F03	M	X00AD2	2	2	4	0
chr1	3201289	3201289	P03919	M	X029F4	1	1	4	0
chr1	3201289	3201289	P053D6	M	X009EE	1	1	2	0
chr1	3201289	3201289	P08D1C	M	X03B23	1	1	2	0
chr1	3201289	3201290	P0C6D1	M	X0033D	2	2	3	0
chr1	3201289	3201289	P0AC99	P	Y014D4	1	1	3	0
chr1	3201290	3201290	P02306	M	X029E2	1	1	2	0
chr1	3201290	3201290	P0395C	M	X03B1D	1	1	3	0
chr1	3201290	3201290	P0BB1B	M	X02C54	1	1	4	0
chr1	3233451	3233451	P063CC	P	Y00EC2	1	1	2	0
chr1	3249064	3249064	P04D9F	P	Y01570	1	1	2	0
chr1	3280516	3280516	P014D0	M	X03803	1	1	2	0
chr1	3320851	3320851	P06463	P	Y01CFC	1	1	2	0
chr1	3349991	3349991	P0F1BE	P	Y013B7	1	1	3	0
chr1	3355977	3355977	P079D8	M	X0125F	1	1	4	0
chr1	3356191	3356191	P093F9	P	Y01C35	1	1	7	0
chr1	3356261	3356261	P0837F	P	Y01195	1	1	3	0
chr1	3357681	3357681	P00CFC	M	X013A2	1	1	2	0
chr1	3358142	3358142	P0BAC7	M	X02014	1	1	6	0
chr1	3377101	3377101	P0ECD7	M	X02CF2	1	1	2	0
chr1	3377858	3377858	P04060	P	Y01C65	1	1	3	0
chr1	3396467	3396467	P0B11E	M	X02001	1	1	3	0
chr1	3415335	3415335	P0B47B	M	X01BFB	1	1	2	0
chr1	3427238	3427238	P00368	M	X01E3A	1	1	2	0
chr1	3575654	3575655	P0911D	P	Y016C7	2	2	4	0
chr1	3577515	3577515	P0D163	P	Y02BC6	1	1	5	0
chr1	3595551	3595551	P0C4C7	P	Y01F10	1	1	2	0
chr1	3601851	3601855	P05128	P	Y018AF	2	2	5	0
chr1	3609677	3609677	P04807	M	X020CD	1	1	2	0
chr1	3687383	3687383	P0BAC7	P	Y02B4A	1	1	6	0
chr1	3716044	3716816	P0355B	M	X01D0B	2	2	4	0
chr1	3786770	3786770	P07EE5	P	Y02CDD	1	1	5	0
chr1	3786770	3786773	P0D22C	P	Y0283A	2	2	4	0
chr1	3786773	3786773	P0D30B	M	X014D3	1	1	9	0
chr1	3787134	3787134	P0310F	P	Y03046	1	1	2	0
chr1	3851132	3851132	P0808F	M	X02D00	1	1	3	0
chr1	3865551	3865551	P07ECA	M	X0278B	1	1	5	0
chr1	3918627	3918630	P08B3B	P	Y02890	2	2	2	0
chr1	3935713	3935713	P0801C	P	Y01493	1	1	3	0
chr1	3942898	3942898	P0BA63	P	Y012C4	1	1	2	0
chr1	3942994	3942994	P094C0	P	Y01299	1	1	6	0
chr1	3949997	3949997	P0CD83	P	Y01FED	1	1	3	0
chr1	3950184	3950184	P0E916	P	Y01201	1	1	2	0
chr1	3959339	3959339	P0C4E7	M	X00F25	1	1	4	0
chr1	3995220	3995220	P09086	M	X0309E	1	1	3	0
chr1	4003308	4003308	P020D2	M	X004DD	1	1	4	0
chr1	4046086	4046086	P0DC17	P	Y00BF7	1	1	4	0
chr1	4058840	4058927	P0C6D1	M	X0033E	2	2	3	0
chr1	4093147	4093147	P044BB	P	Y031C1	1	1	2	0
chr1	4158736	4158736	P02D9A	P	Y01B20	1	1	4	0
chr1	4161539	4161539	P00CC5	P	Y00CDD	1	1	2	0
chr1	4228743	4228743	P0C267	M	X031EA	1	1	3	0
chr1	4296745	4296745	P0BC8E	P	Y001EA	1	1	3	0
chr1	4320135	4320135	P016D4	M	X028A4	1	1	2	0
chr1	4320135	4320135	P072EE	P	Y014B6	1	1	4	0
chr1	4320284	4320284	P02B34	M	X000F2	1	1	2	0
chr1	4320458	4320458	P0E81E	P	Y02A68	1	1	4	0
chr1	4476616	4476616	P0B099	M	X03679	1	1	2	0
chr1	4491360	4491360	P06FA0	P	Y02A24	1	1	2	0
chr1	4616109	4616109	P046CF	M	X0048B	1	1	3	0
chr1	4670900	4670900	P0B099	M	X0367A	1	1	2	0
chr1	4691490	4691490	P0D64E	P	Y00331	1	1	3	0
chr1	4774546	4774546	P0CF6D	M	X02A2D	1	1	4	0
chr1	4912349	4912349	P03C47	P	Y00209	1	1	3	0
chr1	4941749	4941749	P0A0EB	M	X010AA	1	1	2	0
chr1	4941749	4941749	P0CB95	M	X0065A	1	1	6	0
chr1	4942008	4942008	P0C36C	M	X00F7F	1	1	7	0
chr1	5030937	5030937	P02371	P	Y015A5	1	1	2	0
chr1	5076584	5076584	P044AA	M	X02049	1	1	3	0
chr1	5076584	5076584	P05BCC	M	X02EFA	1	1	2	0
chr1	5106473	5132689	P06BB9	P	Y02F62	16	13	2	0
chr1	5250198	5250549	P09F61	M	X00EE0	2	2	2	0
chr1	5251254	5251254	P01E54	M	X01F01	1	1	3	0
chr1	5499596	5499596	P0515B	P	Y00037	1	1	3	0
chr1	5579124	5579124	P0950E	M	X0033F	1	1	3	0
chr1	5635985	5635985	P03D44	M	X00E86	1	1	2	0
chr1	5748033	5748033	P092D9	M	X03CB9	1	1	2	0
chr1	5786390	5786390	P04A84	M	X02096	1	1	2	0
chr1	5844198	5844198	P086F3	M	X008DE	1	1	2	0
chr1	5976155	5976155	P0BA39	M	X01AC7	1	1	5	0
chr1	6044004	6044004	P053C8	M	X01CFA	1	1	2	0
chr1	6078599	6078599	P02D9A	P	Y01B21	1	1	4	0
chr1	6078599	6078599	P09308	P	Y01E21	1	1	2	0
chr1	6084634	6084634	P04C32	M	X03716	1	1	2	0
chr1	6084634	6084634	P0E063	P	Y011E7	1	1	9	0
chr1	6084675	6084675	P01702	P	Y017D1	1	1	2	0
chr1	6084675	6084675	P01BE5	P	Y002A8	1	1	3	0
chr1	6084675	6084675	P04DAD	P	Y029C2	1	1	3	0
chr1	6084675	6084675	P0B0BA	P	Y0083C	1	1	9	0
chr1	6084963	6084963	P00866	P	Y020A1	1	1	2	0
chr1	6123701	6123701	P04F7B	M	X02A35	1	1	2	0
chr1	6137399	6137399	P03D2C	M	X028C6	1	1	3	0
chr1	6485330	6485330	P00F51	M	X014BE	1	1	3	0
chr1	6512978	6512978	P02790	M	X024D3	1	1	3	0
chr1	6569214	6569214	P036CF	P	Y031F7	1	1	2	0
chr1	6603494	6603494	P0BFB4	M	X02E94	1	1	2	0
chr1	6916088	6916088	P04098	P	Y01762	1	1	2	0
chr1	6916166	6916166	P01464	P	Y022AD	1	1	2	0
chr1	6916448	6916448	P05E9A	P	Y01724	1	1	5	0
chr1	6916448	6916448	P0EC74	P	Y021AA	1	1	2	0
chr1	6976964	6976964	P0B92B	P	Y01B99	1	1	2	0
chr1	6976984	6976988	P011DE	P	Y0197E	3	3	3	0
chr1	7069445	7069445	P03A6B	M	X00F2B	1	1	2	0
chr1	7069445	7069445	P08483	P	Y0057F	1	1	4	0
chr1	7110219	7110219	P06CBD	M	X014D4	1	1	9	0
chr1	7187275	7187316	P0BD4D	P	Y0284B	2	2	2	0
chr1	7187316	7187316	P0DDAF	M	X00806	1	1	2	0
chr1	7318120	7318120	P0490D	P	Y01666	1	1	2	0
chr1	7339809	7340019	P039A4	M	X00B2D	2	2	7	0
chr1	7358539	7358539	P09F62	P	Y007B4	1	1	3	0
chr1	7408301	7408301	P016B4	M	X00EA2	1	1	2	0
chr1	7428293	7428293	P09775	M	X0009F	1	1	8	0
chr1	7428293	7428293	P037F6	P	Y01C88	1	1	2	0
chr1	7428437	7428437	P011DE	M	X03CA5	1	1	3	0
chr1	7428437	7428437	P03CF6	M	X03053	1	1	3	0
chr1	7437713	7437713	P0A3AA	M	X02545	1	1	2	0
chr1	7461074	7461083	P051F6	M	X0325E	2	2	2	0
chr1	7508528	7508528	P07389	P	Y006E2	1	1	6	0
chr1	7556533	7556533	P0CBE1	P	Y02B14	1	1	2	0
chr1	7556533	7556533	P0EC4E	P	Y02E32	1	1	6	0
chr1	7556550	7556550	P045C1	M	X03539	1	1	2	0
chr1	7556550	7556550	P0CBF3	M	X00D30	1	1	7	0
chr1	7556550	7556550	P0B1AC	P	Y003E8	1	1	2	0
chr1	7589327	7617010	P0F494	M	X0127A	15	14	3	0
chr1	7615697	7615697	P0B64F	M	X00597	1	1	3	0
chr1	7678705	7678705	P0814F	M	X02E01	1	1	2	0
chr1	7962111	7969259	P06F01	M	X039F4	3	3	2	0
chr1	8139446	8139446	P04D46	M	X03933	1	1	2	0
chr1	8140086	8140086	P0D84A	M	X02161	1	1	2	0
chr1	8140086	8140086	P0AA0F	P	Y01D36	1	1	2	0
chr1	8295609	8295609	P068FD	M	X00426	1	1	4	0
chr1	8359569	8359569	P064DE	M	X02B44	1	1	2	0
chr1	8578607	8592095	P03011	P	Y00A1D	5	5	9	0
chr1	8722584	8722584	P06869	P	Y00535	1	1	2	0
chr1	8772885	8772885	P04221	M	X01DB3	1	1	2	0
chr1	8857153	8857153	P0B9F2	M	X01DFC	1	1	2	0
chr1	8867544	8867544	P05C3C	P	Y0287B	1	1	2	0
chr1	8937292	8937292	P07B50	M	X01A3F	1	1	2	0
chr1	8981825	8981825	P019F9	M	X01F7E	1	1	2	0
chr1	9008327	9008327	P09891	M	X01A72	1	1	2	0
chr1	9008327	9008327	P09BCC	M	X0018C	1	1	2	0
chr1	9059353	9059353	P0E65B	M	X02203	1	1	4	0
chr1	9145120	9145120	P0A48A	P	Y01038	1	1	2	0
chr1	9265617	9265617	P0E6B9	M	X027D4	1	1	2	0
chr1	9274272	9274272	P06811	P	Y00DB8	1	1	3	0
chr1	9274273	9274273	P06811	M	X00E10	1	1	3	0
chr1	9292400	9292400	P0558B	M	X0093C	1	1	3	0
chr1	9301724	9301724	P0C4FE	P	Y019AC	1	1	4	0
chr1	9301947	9301947	P0D15E	P	Y01A84	1	1	2	0
chr1	9337806	9337806	P0019C	P	Y00CB8	1	1	3	0
chr1	9352957	9352957	P02C1E	M	X03AAA	1	1	2	0
chr1	9404739	9404739	P0BCED	M	X01B2D	1	1	2	0
chr1	9405016	9405668	P06B69	M	X03C94	3	2	2	0
chr1	9449918	9450632	P064FD	M	X032A0	3	3	3	0
chr1	9516156	9516156	P08019	M	X031C1	1	1	2	0
chr1	9608924	9608924	P051B1	M	X03327	1	1	2	0
chr1	9654906	9654906	P01BB3	M	X01DEE	1	1	5	0
chr1	9696955	9696955	P069A1	M	X0153A	1	1	3	0
chr1	9726787	9726787	P02BA4	P	Y01381	1	1	4	0
chr1	10169067	10169067	P03AEE	P	Y00EAF	1	1	2	0
chr1	10175888	10175888	P0C7DC	M	X020C0	1	1	2	0
chr1	10424359	10424359	P09D47	P	Y024DC	1	1	2	0
chr1	10438985	10438985	P0ACDE	M	X0350B	1	1	3	0
chr1	10506038	10506038	P01898	M	X03786	1	1	3	0
chr1	10697142	10802340	P07794	M	X02083	4	2	2	0
chr1	10754881	10754881	P098B7	M	X00E4A	1	1	3	0
chr1	10781964	10781964	P0123E	P	Y026CA	1	1	4	0
chr1	10781964	10781964	P0A462	P	Y017BB	1	1	5	0
chr1	10881493	10881493	P00A29	M	X033B3	1	1	2	0
chr1	10986390	11000018	P0144F	M	X014B1	15	15	4	0
chr1	10994596	10994596	P01474	M	X00F53	1	1	5	0
chr1	11005823	11010674	P0F4DB	M	X008D4	6	4	2	0
chr1	11205987	11205987	P00BE2	P	Y013AA	1	1	2	0
chr1	11651147	11651147	P02233	M	X006E8	1	1	3	0
chr1	11651147	11651147	P0F4EF	M	X0322D	1	1	4	0
chr1	11695615	11695615	P0A4F8	P	Y02113	1	1	2	0
chr1	11716139	11725001	P057A0	M	X01F9A	3	3	2	0
chr1	11763099	11763099	P002AD	M	X0198C	1	1	3	0
chr1	11763099	11763099	P0EE3E	M	X02191	1	1	2	0
chr1	11854772	11854772	P043E4	M	X006BE	1	1	2	0
chr1	12020065	12020065	P0DA22	M	X0116D	1	1	3	0
chr1	12097231	12097231	P0400F	P	Y022CD	1	1	2	0
chr1	12163394	12163425	P07EEE	M	X00146	2	2	2	0
chr1	12191708	12191708	P0D4B6	M	X022B2	1	1	5	0
chr1	12206544	12206544	P058FF	M	X027AD	1	1	2	0
chr1	12211446	12211446	P023D4	M	X0067B	1	1	2	0
chr1	12411172	12411172	P02497	M	X031C5	1	1	2	0
chr1	12412714	12412714	P03F9E	M	X02D88	1	1	2	0
chr1	12453576	12532254	P07E35	M	X0384C	7	7	7	0
chr1	13492809	13492809	P0C69D	M	X017E0	1	1	2	0
chr1	13492883	13492883	P09927	P	Y01DEE	1	1	4	0
chr1	13494140	13494140	P03AE1	M	X016B6	1	1	2	0
chr1	13516186	13516186	P06792	P	Y0042B	1	1	3	0
chr1	13621730	13621730	P056C7	M	X034DA	1	1	2	0
chr1	13803003	13815507	P0C28B	M	X00D05	3	3	2	0
chr1	13878848	13878848	P0B17C	P	Y00BC1	1	1	3	0
chr1	13907531	13907531	P00A75	M	X00F9A	1	1	4	0
chr1	14037537	14039471	P00E58	M	X01D38	6	6	2	0
chr1	14114358	14114381	P008A1	P	Y01A34	2	2	2	0
chr1	14127699	14127699	P07731	M	X0116A	1	1	2	0
chr1	14262632	14262632	P09A41	M	X01A41	1	1	3	0
chr1	14262632	14262632	P09DC3	M	X029F5	1	1	4	0
chr1	14300395	14300395	P0C724	P	Y027A4	1	1	2	0
chr1	14303537	14640543	P0173F	M	X02082	30	16	2	0
chr1	14461560	14461560	P04902	P	Y02FB0	1	1	3	0
chr1	14506729	14510149	P0C56C	P	Y00197	5	5	6	0
chr1	14827478	14827478	P0F176	M	X03BC0	1	1	2	0
chr1	14827517	14827517	P0471F	P	Y022F6	1	1	2	0
chr1	14855657	14855657	P05748	M	X02A39	1	1	2	0
chr1	14860427	14860427	P05D39	M	X001F5	1	1	4	0
chr1	14870924	14870924	P0D7FB	M	X02403	1	1	5	0
chr1	15021926	15021926	P07769	P	Y016C0	1	1	3	0
chr1	15036778	15036778	P05D66	M	X02782	1	1	3	0
chr1	15045477	15045477	P0E655	M	X02146	1	1	2	0
chr1	15046542	15046542	P074D4	P	Y02902	1	1	2	0
chr1	15046542	15046542	P0B948	P	Y00038	1	1	3	0
chr1	15046542	15046542	P0C816	P	Y00524	1	1	2	0
chr1	15096985	15096985	P06B7F	M	X03122	1	1	3	0
chr1	15099573	15099573	P0689F	M	X00FBA	1	1	6	0
chr1	15099772	15099772	P0A0C7	M	X00075	1	1	2	0
chr1	15099843	15099975	P03F4B	P	Y02B40	2	2	2	0
chr1	15099975	15099975	P0BE62	P	Y02AAD	1	1	4	0
chr1	15101438	15103156	P09FB9	M	X01F2D	10	10	2	0
chr1	15111751	15111751	P0AB82	M	X0220F	1	1	2	0
chr1	15179505	15179505	P0AD28	P	Y00B61	1	1	2	0
chr1	15243326	15243326	P0830F	P	Y01987	1	1	2	0
chr1	15244819	15244819	P023A8	M	X028C7	1	1	3	0
chr1	15278064	15278064	P04B08	P	Y031C2	1	1	2	0
chr1	15293494	15293494	P05533	M	X00D7A	1	1	2	0
chr1	15293835	15293835	P0D054	P	Y00C8C	1	1	2	0
chr1	15322535	15322535	P0DB88	P	Y0142C	1	1	2	0
chr1	15322972	15322972	P0AE6A	M	X00CD6	1	1	3	0
chr1	15322972	15322972	P042F1	P	Y00548	1	1	2	0
chr1	15419749	15419749	P0924C	M	X01428	1	1	2	0
chr1	15776687	15776687	P0644C	M	X02F40	1	1	2	0
chr1	15956281	15956281	P01433	P	Y03129	1	1	3	0
chr1	16116352	16116352	P0D295	P	Y00CE5	1	1	5	0
chr1	16166730	16166730	P00E55	M	X0035A	1	1	3	0
chr1	16977297	16977297	P0D9A4	M	X02819	1	1	2	0
chr1	17214553	17214553	P04B03	M	X02404	1	1	5	0
chr1	17214553	17214553	P0123E	P	Y026CB	1	1	4	0
chr1	17223808	17223808	P0D054	M	X033AC	1	1	2	0
chr1	17273822	17283971	P0F3A9	P	Y00B83	6	5	2	0
chr1	17277279	17277279	P06897	M	X009C2	1	1	4	0
chr1	17277355	17277355	P0D7F7	P	Y02D5D	1	1	2	0
chr1	17387560	17388215	P0C2FD	M	X00F50	3	3	2	0
chr1	17553469	17553469	P05A72	M	X013F7	1	1	2	0
chr1	17565730	17591387	P01553	M	X019D2	4	3	2	0
chr1	17601764	17650187	P09848	M	X017F9	3	3	4	0
chr1	17696438	17696438	P03FF3	P	Y01FBD	1	1	3	0
chr1	17784206	17784206	P06B8A	P	Y0088D	1	1	5	0
chr1	17792983	17815864	P066C8	M	X001A5	2	2	2	0
chr1	17856608	17856608	P0AD49	P	Y01095	1	1	2	0
chr1	17856928	17939961	P0258D	M	X0266D	71	63	5	0
chr1	18055409	18055409	P08017	M	X0292F	1	1	2	0
chr1	18161412	18161412	P0F291	M	X02D24	1	1	3	0
chr1	18161412	18161412	P04ED6	P	Y02D13	1	1	3	0
chr1	18164080	18164093	P00BA3	P	Y01318	2	2	2	0
chr1	18164080	18164080	P067BC	P	Y02BE3	1	1	6	0
chr1	18164080	18164080	P088AC	P	Y00181	1	1	2	0
chr1	18164101	18164101	P04BA6	M	X0371F	1	1	3	0
chr1	18187547	18187547	P053BE	M	X0034F	1	1	2	0
chr1	18199900	18328085	P038A1	M	X01571	50	32	2	0
chr1	18240496	18240496	P0C2BA	P	Y0116D	1	1	10	0
chr1	18243016	18243016	P00E55	M	X0035B	1	1	3	0
chr1	18243712	18243712	P069A2	M	X01328	1	1	3	0
chr1	18283678	18283678	P079DC	M	X00C69	1	1	2	0
chr1	18296343	18301094	P0619A	M	X01D63	3	3	2	0
chr1	18440319	18440319	P0C8E5	M	X002F2	1	1	5	0
chr1	18578075	18578075	P02F09	P	Y010F6	1	1	5	0
chr1	18578213	18578213	P0F180	M	X00EC9	1	1	4	0
chr1	18719554	18719554	P01F61	P	Y02057	1	1	3	0
chr1	18721438	18721438	P02915	M	X02CC4	1	1	2	0
chr1	18852610	18852644	P0D5E4	P	Y02D24	2	2	5	0
chr1	18877381	18877381	P0654C	M	X03D53	1	1	3	0
chr1	18913701	18913701	P035D5	M	X02A99	1	1	6	0
chr1	18913701	18913701	P098A8	M	X0020D	1	1	2	0
chr1	18913701	18913701	P0AF4C	M	X02444	1	1	2	0
chr1	18913747	18913747	P03A78	M	X00C7C	1	1	2	0
chr1	18917157	18917157	P08C20	M	X00C0A	1	1	4	0
chr1	18930538	18930538	P0134D	P	Y000F3	1	1	4	0
chr1	19009258	19009258	P0A959	M	X00CB0	1	1	2	0
chr1	19049879	19049879	P07046	P	Y01D2D	1	1	3	0
chr1	19080823	19080823	P062DE	P	Y01427	1	1	2	0
chr1	19225161	19225161	P03530	P	Y00DCA	1	1	2	0
chr1	19225161	19225161	P0D61D	P	Y018F6	1	1	3	0
chr1	19228566	19228566	P0CB33	M	X02917	1	1	2	0
chr1	19228566	19228566	P0781A	P	Y02EAA	1	1	3	0
chr1	19353433	19353433	P03853	P	Y014D5	1	1	3	0
chr1	19353897	19353930	P0B5B4	M	X00A8F	2	2	2	0
chr1	19491919	19491919	P0213C	M	X0286F	1	1	2	0
chr1	19648487	19648487	P0D35C	M	X03405	1	1	3	0
chr1	19648551	19648551	P03C6D	P	Y01806	1	1	2	0
chr1	19700408	19700408	P02CB9	M	X0223C	1	1	2	0
chr1	19700408	19700408	P04E83	M	X01A7B	1	1	4	0
chr1	19722592	19722592	P0953F	M	X02BE4	1	1	2	0
chr1	19773760	19773760	P09A99	P	Y00DF3	1	1	2	0
chr1	19783943	19783943	P00DFD	M	X03281	1	1	2	0
chr1	19783943	19783943	P09FAA	P	Y012D4	1	1	2	0
chr1	19796342	19796342	P01553	M	X019D3	1	1	2	0
chr1	19813847	19813847	P00746	P	Y008E8	1	1	3	0
chr1	19813847	19813847	P05406	P	Y007C0	1	1	2	0
chr1	20110396	20110396	P064C4	M	X03B8E	1	1	5	0
chr1	20110396	20110396	P001A0	P	Y02429	1	1	2	0
chr1	20138398	20138398	P0A375	M	X005C7	1	1	3	0
chr1	20150007	20150007	P082B2	P	Y00D39	1	1	3	0
chr1	20174098	20175089	P01F7E	M	X00DBC	2	2	7	0
chr1	20281707	20281707	P09EEF	P	Y00222	1	1	2	0
chr1	20291957	20291957	P0D2B7	M	X0222D	1	1	3	0
chr1	20372522	20372522	P0082A	M	X02726	1	1	6	0
chr1	20382624	20382624	P0CBC3	M	X026E0	1	1	2	0
chr1	20498873	20498873	P032B9	P	Y0310E	1	1	2	0
chr1	20535613	20535613	P09956	M	X035C3	1	1	2	0
chr1	20662418	20667724	P0D96E	M	X01232	8	5	3	0
chr1	20683895	20683895	P0782F	M	X027A1	1	1	2	0
chr1	20683895	20683895	P09093	P	Y0160D	1	1	2	0
chr1	20733863	20733863	P0853B	P	Y00BF4	1	1	2	0
chr1	21189597	21189597	P061E8	M	X01F23	1	1	2	0
chr1	21218298	21218298	P01524	M	X008CA	1	1	2	0
chr1	21295910	21295910	P0D0B3	P	Y031C7	1	1	5	0
chr1	21404055	21404055	P00400	P	Y02595	1	1	2	0
chr1	21492666	21496799	P0912B	M	X03CF2	13	13	6	0
chr1	21497422	21497615	P0658E	M	X0081B	2	2	3	0
chr1	21537198	21537198	P06A97	P	Y00861	1	1	2	0
chr1	21540071	21540071	P0AE98	P	Y02659	1	1	5	0
chr1	21558702	21558702	P041C6	P	Y02BBB	1	1	2	0
chr1	21818306	21818306	P0BEE8	P	Y02F6A	1	1	2	0
chr1	21818308	21818308	P0A460	M	X03B76	1	1	3	0
chr1	21818308	21818308	P0DC74	M	X02AE9	1	1	6	0
chr1	21818308	21818308	P07F51	P	Y02C6D	1	1	8	0
chr1	22160008	22160008	P0A7E6	M	X02779	1	1	3	0
chr1	22205049	22205049	P026DE	M	X011B1	1	1	2	0
chr1	22219617	22219617	P020B9	M	X0052A	1	1	4	0
chr1	22295944	22295944	P03990	P	Y0190E	1	1	3	0
chr1	22296020	22296020	P0F21B	M	X0075D	1	1	2	0
chr1	22330375	22330375	P03F1B	P	Y0298E	1	1	2	0
chr1	22394654	22410851	P0075C	M	X02015	20	14	6	0
chr1	22411390	22411470	P05D66	M	X02783	2	2	3	0
chr1	22420411	22420411	P09D59	M	X005E4	1	1	5	0
chr1	22424584	22487407	P02121	M	X00D7D	19	9	2	0
chr1	22519959	22523262	P050DB	M	X01E9A	5	5	8	0
chr1	22539482	22539488	P0773D	P	Y0153D	2	2	6	0
chr1	22550257	22550257	P05A2D	M	X00B48	1	1	6	0
chr1	22623059	22623059	P07F74	M	X03C66	1	1	3	0
chr1	22623744	22623744	P070EF	P	Y00171	1	1	2	0
chr1	22626330	22626330	P0B2FC	P	Y0210D	1	1	2	0
chr1	22628736	22628736	P0C866	M	X01D6C	1	1	2	0
chr1	22760390	22760390	P01708	M	X02E0C	1	1	5	0
chr1	22849598	22849598	P07109	M	X0079C	1	1	4	0
chr1	22858294	22858294	P0F542	P	Y029FC	1	1	2	0
chr1	22935341	22942243	P0C233	M	X0265A	6	4	3	0
chr1	22956694	22956694	P04AD9	M	X0182E	1	1	5	0
chr1	23390443	23390443	P0CAF7	M	X038E9	1	1	5	0
chr1	23559660	23559660	P05C9C	P	Y02203	1	1	2	0
chr1	23559847	23559847	P0B0B0	M	X023EB	1	1	3	0
